code,treatment,rep,fungicide,institution,cultivar,city,state,year_analysis,year_trial,don,inc,sev,ph,yld,trial1,trial2
1009 [19],Trat 1,1,aacheck,FAPA,Campeiro,Guarapuava,PR,2019,2017,5987.6,52.5,NA,78.1,3389.9,Guarapuava2017,1
1010 [19],Trat 2,1,Tebuconazole + trifloxistrobina,FAPA,Campeiro,Guarapuava,PR,2019,2017,1972.1,8.5,NA,82.6,3620.7,Guarapuava2017,1
1011 [19],Trat 3,1,Trifloxistrobina + protioconazole,FAPA,Campeiro,Guarapuava,PR,2019,2017,1397.9,6.5,NA,82.6,3674,Guarapuava2017,1
1012 [19],Trat 4,1,Piraclostrobina + metconazole,FAPA,Campeiro,Guarapuava,PR,2019,2017,2178.8,10.8,NA,80.4,3350,Guarapuava2017,1
1013 [19],Trat 5,1,Carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,3992.8,15.8,NA,80.4,3526.4,Guarapuava2017,1
1014 [19],Trat 7,1,Azoxistrobina + tebuconazole + mancozebe,FAPA,Campeiro,Guarapuava,PR,2019,2017,3695.7,10.8,NA,80.4,3577.4,Guarapuava2017,1
1015 [19],Trat 8,1,Azoxistrobina + tebuconazole + mancozebe,FAPA,Campeiro,Guarapuava,PR,2019,2017,4122.9,2.8,NA,82.6,4176.9,Guarapuava2017,1
1016 [19],Trat 9,1,Trifloxistrobina + protioconazole + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,5083,1.3,NA,80.4,4101.3,Guarapuava2017,1
1017 [19],Trat 10,1,Piraclostrobina + metconazole + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,3241.7,3.9,NA,82.6,4275,Guarapuava2017,1
1018 [19],Trat 11,1,Clorotalonil + tebuconazole + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,2798.6,4.2,NA,82.6,4206.5,Guarapuava2017,1
1022 [19],Trat 1,2,aacheck,FAPA,Campeiro,Guarapuava,PR,2019,2017,5391.2,52.6,NA,82.6,3385.1,Guarapuava2017,1
1023 [19],Trat 2,2,Tebuconazole + trifloxistrobina,FAPA,Campeiro,Guarapuava,PR,2019,2017,2214.2,8.2,NA,80.4,3649.9,Guarapuava2017,1
1024 [19],Trat 3,2,Trifloxistrobina + protioconazole,FAPA,Campeiro,Guarapuava,PR,2019,2017,1715,6.6,NA,80.4,3719.2,Guarapuava2017,1
1025 [19],Trat 4,2,Piraclostrobina + metconazole,FAPA,Campeiro,Guarapuava,PR,2019,2017,2605.2,10.7,NA,80.4,3561.2,Guarapuava2017,1
1026 [19],Trat 5,2,Carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,2521.4,15.8,NA,80.4,3542.9,Guarapuava2017,1
1027 [19],Trat 6,2,Clorotalonil + tebuconazole,FAPA,Campeiro,Guarapuava,PR,2019,2017,1476.1,11.8,NA,80.4,3321.7,Guarapuava2017,1
1028 [19],Trat 7,2,Azoxistrobina + tebuconazole + mancozebe,FAPA,Campeiro,Guarapuava,PR,2019,2017,3723,10.7,NA,82.6,3346.5,Guarapuava2017,1
1029 [19],Trat 8,2,Tebuconazole + trifloxistrobina + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,4311.4,2.7,NA,80.4,4291.3,Guarapuava2017,1
1030 [19],Trat 9,2,Trifloxistrobina + protioconazole + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,4123.7,1.3,NA,82.6,4429.3,Guarapuava2017,1
1031 [19],Trat 10,2,Piraclostrobina + metconazole + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,2084.7,3.8,NA,82.6,4324.3,Guarapuava2017,1
1032 [19],Trat 11,2,Clorotalonil + tebuconazole + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,3092.9,4.4,NA,82.6,4618.7,Guarapuava2017,1
1035 [19],Trat 1,3,aacheck,FAPA,Campeiro,Guarapuava,PR,2019,2017,3696.6,52.7,NA,82.6,3338.9,Guarapuava2017,1
1036 [19],Trat 2,3,Tebuconazole + trifloxistrobina,FAPA,Campeiro,Guarapuava,PR,2019,2017,1073,8.7,NA,78.1,3552.2,Guarapuava2017,1
1037 [19],Trat 3,3,Trifloxistrobina + protioconazole,FAPA,Campeiro,Guarapuava,PR,2019,2017,4334.2,6.5,NA,80.4,3546.5,Guarapuava2017,1
1039 [19],Trat 4,3,Piraclostrobina + metconazole,FAPA,Campeiro,Guarapuava,PR,2019,2017,2364.6,10.9,NA,80.4,3580.3,Guarapuava2017,1
1040 [19],Trat 5,3,Carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,4762.4,15.7,NA,82.6,3719.2,Guarapuava2017,1
1041 [19],Trat 6,3,Clorotalonil + tebuconazole,FAPA,Campeiro,Guarapuava,PR,2019,2017,1802.8,11.9,NA,78.1,3305.9,Guarapuava2017,1
1042 [19],Trat 7,3,Azoxistrobina + tebuconazole + mancozebe,FAPA,Campeiro,Guarapuava,PR,2019,2017,1505.9,10.8,NA,80.4,3902.9,Guarapuava2017,1
1043 [19],Trat 8,3,Tebuconazole + trifloxistrobina + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,2283.3,2.8,NA,80.4,4516.5,Guarapuava2017,1
1044 [19],Trat 9,3,Trifloxistrobina + protioconazole + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,4167.3,1.4,NA,82.6,4040.5,Guarapuava2017,1
1045 [19],Trat 10,3,Piraclostrobina + metconazole + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,3270.5,4,NA,80.4,4057.7,Guarapuava2017,1
1046 [19],Trat 11,3,Clorotalonil + tebuconazole + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,2156.6,4,NA,80.4,3885.1,Guarapuava2017,1
1050 [19],Trat 1,4,aacheck,FAPA,Campeiro,Guarapuava,PR,2019,2017,4819.5,52,NA,80.4,3320.8,Guarapuava2017,1
1051 [19],Trat 2,4,Tebuconazole + trifloxistrobina,FAPA,Campeiro,Guarapuava,PR,2019,2017,1889.8,8.6,NA,82.6,3654.7,Guarapuava2017,1
1052 [19],Trat 3,4,Trifloxistrobina + protioconazole,FAPA,Campeiro,Guarapuava,PR,2019,2017,1729.3,6.4,NA,78.1,3660.9,Guarapuava2017,1
1053 [19],Trat 4,4,Piraclostrobina + metconazole,FAPA,Campeiro,Guarapuava,PR,2019,2017,1980.8,10.8,NA,82.6,3395.4,Guarapuava2017,1
1054 [19],Trat 5,4,Carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,2332.7,15.9,NA,82.6,3629.1,Guarapuava2017,1
1055 [19],Trat 6,4,Clorotalonil + tebuconazole,FAPA,Campeiro,Guarapuava,PR,2019,2017,1674.6,11.6,NA,80.4,3451.1,Guarapuava2017,1
1056 [19],Trat 7,4,Azoxistrobina + tebuconazole + mancozebe,FAPA,Campeiro,Guarapuava,PR,2019,2017,4640.9,10.7,NA,82.6,3622.5,Guarapuava2017,1
1057 [19],Trat 8,4,Tebuconazole + trifloxistrobina + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,4617.9,2.9,NA,82.6,4493.4,Guarapuava2017,1
1058 [19],Trat 9,4,Trifloxistrobina + protioconazole + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,4789.2,1.2,NA,82.6,4740.6,Guarapuava2017,1
1059 [19],Trat 10,4,Piraclostrobina + metconazole + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,2112.1,3.9,NA,82.6,4380.7,Guarapuava2017,1
1060 [19],Trat 11,3,Clorotalonil + tebuconazole + carbendazim,FAPA,Campeiro,Guarapuava,PR,2019,2017,2344.6,4.1,NA,82.6,4499.2,Guarapuava2017,1
490 [18],Trat 1,1,aacheck,Embrapa Trigo,BRS Parrudo,Passo Fundo,RS,2017,2017,3194.5,57,15.7,76,2796.3,Passo Fundo2017,2
491 [18],Trat 1,2,aacheck,Embrapa Trigo,BRS Parrudo,Passo Fundo,RS,2017,2017,2728.7,57,17.4,75,3043.2,Passo Fundo2017,2
492 [18],Trat 1,3,aacheck,Embrapa Trigo,BRS Parrudo,Passo Fundo,RS,2017,2017,2746.3,46,17.7,72.4,2777.8,Passo Fundo2017,2
493 [18],Trat 1,4,aacheck,Embrapa Trigo,BRS Parrudo,Passo Fundo,RS,2017,2017,3492.3,59,14.5,73,3154.3,Passo Fundo2017,2
494 [18],Trat 2,1,Tebuconazole + trifloxistrobina,Embrapa Trigo,BRS Parrudo,Passo Fundo,RS,2017,2017,856.5,43,11.9,75.4,3092.6,Passo Fundo2017,2
495 [18],Trat 2,2,Tebuconazole + trifloxistrobina,Embrapa Trigo,BRS Parrudo,Passo Fundo,RS,2017,2017,1427.7,46,16.7,74.6,3067.9,Passo Fundo2017,2
496 [18],Trat 2,3,Tebuconazole + trifloxistrobina,Embrapa Trigo,BRS Parrudo,Passo Fundo,RS,2017,2017,1170.8,48,17.1,74.8,3098.8,Passo Fundo2017,2
497 [18],Trat 2,4,Tebuconazole + trifloxistrobina,Embrapa Trigo,BRS Parrudo,Passo Fundo,RS,2017,2017,915.3,34,9.3,75.2,3203.7,Passo Fundo2017,2
498 [18],Trat 3,1,Trifloxistrobina + protioconazole,Embrapa Trigo,BRS Parrudo,Passo Fundo,RS,2017,2017,2534.4,21,12.4,77.3,3265.4,Passo Fundo2017,2
499 [18],Trat 3,2,Trifloxistrobina + protioconazole,Embrapa Trigo,BRS Parrudo,Passo Fundo,RS,2017,2017,1267.3,32,13.5,75,3469.1,Passo Fundo2017,2
500 [18],Trat 3,3,Trifloxistrobina + protioconazole,Embrapa Trigo,BRS Parrudo,Passo Fundo,RS,2017,2017,1258.1,48,10.2,75,3314.8,Passo Fundo2017,2
501 [18],Trat 3,4,Trifloxistrobina + protioconazole,Embrapa Trigo,BRS Parrudo,Passo Fundo,RS,2017,2017,1242.4,36,11.6,76,3518.5,Passo Fundo2017,2
